#Time,BothArmsLabel,Start/End,RightArmLabel,Start/End,LeftArmLabel,Start/End,Locomotion,Start/End,SessionLabel,Info10
19:28:07.750,,,,,,,,,S1,Start
19:28:07.810,DrinkGlass,Start,DrinkGlass,Start,,,,,,
19:28:10.998,DrinkGlass,End,DrinkGlass,End,,,,,,
19:28:12.318,PourWater,Start,PourWater,Start,,,,,,
19:28:16.643,PourWater,End,PourWater,End,,,,,,
19:28:16.703,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
19:28:17.963,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
19:28:18.863,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:28:21.265,Walk,End,Walk,End,Walk,End,Walk,End,,
19:28:22.225,OpenDoor,Start,OpenDoor,Start,,,,,,
19:28:25.291,OpenDoor,End,OpenDoor,End,,,,,,
19:28:28.294,CleanTable,Start,CleanTable,Start,,,,,,
19:28:33.107,CleanTable,End,CleanTable,End,,,,,,
19:28:34.307,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:28:36.953,Walk,End,Walk,End,Walk,End,Walk,End,,
19:28:38.635,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
19:28:39.956,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
19:28:41.396,PourWater,Start,PourWater,Start,,,,,,
19:28:44.996,PourWater,End,PourWater,End,,,,,,
19:28:45.778,DrinkGlass,Start,DrinkGlass,Start,,,,,,
19:28:48.603,DrinkGlass,End,DrinkGlass,End,,,,,,
19:28:48.781,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
19:28:49.804,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
19:28:50.704,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:28:55.218,Walk,End,Walk,End,Walk,End,Walk,End,,
19:28:56.358,OpenDoor,Start,OpenDoor,Start,,,,,,
19:28:59.429,OpenDoor,End,OpenDoor,End,,,,,,
19:29:04.898,BrushTeeth,Start,BrushTeeth,Start,,,,,,
19:29:09.594,BrushTeeth,End,BrushTeeth,End,,,,,,
19:29:12.061,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:29:15.728,Walk,End,Walk,End,Walk,End,Walk,End,,
19:29:16.630,CleanTable,Start,CleanTable,Start,,,,,,
19:29:21.329,CleanTable,End,CleanTable,End,,,,,,
19:29:23.554,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
19:29:24.934,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
19:29:25.955,DrinkGlass,Start,DrinkGlass,Start,,,,,,
19:29:28.601,DrinkGlass,End,DrinkGlass,End,,,,,,
19:29:29.382,PourWater,Start,PourWater,Start,,,,,,
19:29:32.627,PourWater,End,PourWater,End,,,,,,
19:29:33.287,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
19:29:34.247,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
19:29:34.968,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:29:37.981,Walk,End,Walk,End,Walk,End,Walk,End,,
19:29:38.701,CloseDoor,Start,CloseDoor,Start,,,,,,
19:29:41.890,CloseDoor,End,CloseDoor,End,,,,,,
19:29:44.653,BrushTeeth,Start,BrushTeeth,Start,,,,,,
19:29:48.754,BrushTeeth,End,BrushTeeth,End,,,,,,
19:29:50.798,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:29:54.828,Walk,End,Walk,End,Walk,End,Walk,End,,
19:29:55.548,CleanTable,Start,CleanTable,Start,,,,,,
19:29:59.759,CleanTable,End,CleanTable,End,,,,,,
19:30:02.222,CloseDoor,Start,CloseDoor,Start,,,,,,
19:30:05.892,CloseDoor,End,CloseDoor,End,,,,,,
19:30:08.119,OpenDoor,Start,OpenDoor,Start,,,,,,
19:30:10.650,OpenDoor,End,OpenDoor,End,,,,,,
19:30:12.457,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:30:14.677,Walk,End,Walk,End,Walk,End,Walk,End,,
19:30:14.737,SitDown,Start,SitDown,Start,SitDown,Start,SitDown,Start,,
19:30:16.477,SitDown,End,SitDown,End,SitDown,End,SitDown,End,,
19:30:17.377,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
19:30:19.117,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
19:30:20.497,PourWater,Start,PourWater,Start,,,,,,
19:30:24.163,PourWater,End,PourWater,End,,,,,,
19:30:24.824,CleanTable,Start,CleanTable,Start,,,,,,
19:30:29.225,CleanTable,End,CleanTable,End,,,,,,
19:30:30.305,DrinkGlass,Start,DrinkGlass,Start,,,,,,
19:30:33.375,DrinkGlass,End,DrinkGlass,End,,,,,,
19:30:34.155,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:30:38.178,Walk,End,Walk,End,Walk,End,Walk,End,,
19:30:38.655,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
19:30:40.215,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
19:30:40.575,CleanTable,Start,CleanTable,Start,,,,,,
19:30:45.081,CleanTable,End,CleanTable,End,,,,,,
19:30:45.920,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
19:30:47.120,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
19:30:47.900,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:30:51.265,Walk,End,Walk,End,Walk,End,Walk,End,,
19:30:52.706,BrushTeeth,Start,BrushTeeth,Start,,,,,,
19:30:56.684,BrushTeeth,End,BrushTeeth,End,,,,,,
19:30:58.308,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:31:00.234,Walk,End,Walk,End,Walk,End,Walk,End,,
19:31:01.255,CloseDoor,Start,CloseDoor,Start,,,,,,
19:31:04.801,CloseDoor,End,CloseDoor,End,,,,,,
19:31:07.141,Walk,Start,Walk,Start,Walk,Start,Walk,Start,,
19:31:09.664,Walk,End,Walk,End,Walk,End,Walk,End,,
19:31:11.105,BrushTeeth,Start,BrushTeeth,Start,,,,,,
19:31:14.483,BrushTeeth,End,BrushTeeth,End,,,,,,
19:31:16.233,CloseDoor,Start,CloseDoor,Start,,,,,,
19:31:18.523,CloseDoor,End,CloseDoor,End,,,,,,
19:31:21.890,BrushTeeth,Start,BrushTeeth,Start,,,,,,
19:31:25.744,BrushTeeth,End,BrushTeeth,End,,,,,,
19:31:28.572,CloseDoor,Start,CloseDoor,Start,,,,,,
19:31:31.399,CloseDoor,End,CloseDoor,End,,,,,,
19:31:31.459,,,,,,,,,S1,End
19:32:32.996,,,,,,,,,S2,Start
19:32:33.056,DrinkGlass,Start,,,DrinkGlass,Start,,,,
19:32:36.241,DrinkGlass,End,,,DrinkGlass,End,,,,
19:32:37.264,PourWater,Start,,,PourWater,Start,,,,
19:32:39.911,PourWater,End,,,PourWater,End,,,,
19:32:40.570,StandUp,Start,StandUp,Start,StandUp,Start,StandUp,Start,,
19:32:41.410,StandUp,End,StandUp,End,StandUp,End,StandUp,End,,
